"filename", "language", "JSON", "JavaScript", "Markdown", "HTML", "XML", "CSS", "SQL", "comment", "blank", "total"
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\css\profile\Orders.css", "CSS", 0, 0, 0, 0, 0, 206, 0, 0, 38, 244
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\css\profile\OrdersDetails.css", "CSS", 0, 0, 0, 0, 0, 93, 0, 1, 12, 106
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\css\profile\Payment.css", "CSS", 0, 0, 0, 0, 0, 240, 0, 0, 40, 280
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\css\profile\ProfileDetails.css", "CSS", 0, 0, 0, 0, 0, 65, 0, 0, 13, 78
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\css\profile\Shipping.css", "CSS", 0, 0, 0, 0, 0, 95, 0, 0, 21, 116
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\css\profile\UserData.css", "CSS", 0, 0, 0, 0, 0, 166, 0, 0, 30, 196
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\navbar.jsx", "JavaScript", 0, 138, 0, 0, 0, 0, 0, 1, 13, 152
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\productCard.jsx", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 2, 10, 69
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\profile\OrderTracking.jsx", "JavaScript", 0, 242, 0, 0, 0, 0, 0, 0, 20, 262
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\profile\Orders.jsx", "JavaScript", 0, 252, 0, 0, 0, 0, 0, 0, 23, 275
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\profile\OrdersDetails.jsx", "JavaScript", 0, 125, 0, 0, 0, 0, 0, 0, 7, 132
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\profile\Payment.jsx", "JavaScript", 0, 280, 0, 0, 0, 0, 0, 1, 23, 304
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\profile\ProfileDetails.jsx", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 5, 40
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\profile\Shipping.jsx", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 0, 6, 80
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\profile\UserData.jsx", "JavaScript", 0, 166, 0, 0, 0, 0, 0, 1, 12, 179
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\index.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\screens\About.jsx", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\screens\Cart.jsx", "JavaScript", 0, 169, 0, 0, 0, 0, 0, 0, 12, 181
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\screens\Delivery.jsx", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\screens\Home.jsx", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 0, 9, 83
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\screens\Images.jsx", "JavaScript", 0, 109, 0, 0, 0, 0, 0, 0, 20, 129
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\screens\NextImplementations.jsx", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\screens\Product.jsx", "JavaScript", 0, 313, 0, 0, 0, 0, 0, 0, 21, 334
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\screens\Profile.jsx", "JavaScript", 0, 177, 0, 0, 0, 0, 0, 1, 14, 192
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\screens\Search.jsx", "JavaScript", 0, 198, 0, 0, 0, 0, 0, 1, 17, 216
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\screens\Workwithus.jsx", "JavaScript", 0, 97, 0, 0, 0, 0, 0, 0, 8, 105
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\screens\css\Cart.css", "CSS", 0, 0, 0, 0, 0, 188, 0, 0, 31, 219
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\screens\css\Home.css", "CSS", 0, 0, 0, 0, 0, 53, 0, 0, 3, 56
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\screens\css\NextImplementations.css", "CSS", 0, 0, 0, 0, 0, 22, 0, 0, 3, 25
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\screens\css\Product.css", "CSS", 0, 0, 0, 0, 0, 249, 0, 0, 52, 301
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\screens\css\Profile.css", "CSS", 0, 0, 0, 0, 0, 214, 0, 1, 35, 250
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\screens\css\Search.css", "CSS", 0, 0, 0, 0, 0, 231, 0, 2, 36, 269
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\screens\css\Shop.css", "CSS", 0, 0, 0, 0, 0, 60, 0, 0, 14, 74
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\screens\css\Workwithus.css", "CSS", 0, 0, 0, 0, 0, 61, 0, 2, 9, 72
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\utils\utils.css", "CSS", 0, 0, 0, 0, 0, 25, 0, 1, 5, 31
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\utils\utils.js", "JavaScript", 0, 103, 0, 0, 0, 0, 0, 8, 19, 130
"Total", "-", 18023, 3490, 199, 20, 1, 3728, -709, 51, 1274, 26077
